Item Status,Item,Cert Number,Grade Issuer,Grade,Autograph Grade,Year,Set,Card Number,Subject,Variety,Serial,Category,My Cost,PSA Estimate,Gain/Loss,My Value,Date Acquired,Source,My Notes,Vault Status,Vaulted Date,Days Vaulted,Listing Status,Listing Date,Listing Price,Sold Status,Sold On,Sold Date,Sold Price,Sold Fees,Sold Proceeds,Payment Date
Active,2025 POKEMON KOREAN SV8a-TERASTAL FEST ex #205 VAPOREON EX SPECIAL ART RARE,121297951,PSA,10,-,2025,POKEMON KOREAN SV8a-TERASTAL FEST ex,205,VAPOREON EX,SPECIAL ART RARE,-,TCG Cards,-,67,-,-,-,-,-,Vaulted,09/17/2025,347,-,-,-,-,-,-,-,-,-,-
Active,2025 TOPPS TAKASHI MURAKAMI + MLB WORLD TOUR TOKYO SERIES #1 SHOHEI OHTANI,121297939,PSA,10,-,2025,TOPPS TAKASHI MURAKAMI + MLB WORLD TOUR TOKYO SERIES,1,SHOHEI OHTANI,-,-,BASEBALL CARDS,-,759,-,-,-,-,-,Vaulted,09/17/2025,347,-,-,-,-,-,-,-,-,-,-
Active,2024 TOPPS RESURGENCE RESURGENCE ROOKIE SIGNATURES #RRSMN MALIK NABERS AQUA SURGE 204/249,121297949,PSA,10,-,2024,TOPPS RESURGENCE RESURGENCE ROOKIE SIGNATURES,RRSMN,MALIK NABERS,AQUA SURGE,204/249,FOOTBALL CARDS,-,167,-,-,-,-,-,Vaulted,09/17/2025,347,-,-,-,-,-,-,-,-,-,-
Active,2025 TOPPS TAKASHI MURAKAMI + MLB WORLD TOUR TOKYO SERIES #25 SHOHEI OHTANI,121297940,PSA,10,-,2025,TOPPS TAKASHI MURAKAMI + MLB WORLD TOUR TOKYO SERIES,25,SHOHEI OHTANI,-,-,BASEBALL CARDS,-,755,-,-,-,-,-,Vaulted,09/17/2025,347,-,-,-,-,-,-,-,-,-,-
Active,2024 BOWMAN UNIVERSITY CHROME SAPPHIRE #183 WILL JOHNSON ORANGE REFRACTOR 13/25,121297944,PSA,10,-,2024,BOWMAN UNIVERSITY CHROME SAPPHIRE,183,WILL JOHNSON,ORANGE REFRACTOR,13/25,FOOTBALL CARDS,-,-,-,-,-,-,-,Vaulted,09/17/2025,347,-,-,-,-,-,-,-,-,-,-
Active,2024 TOPPS RESURGENCE CONDUCTORS #C8 BO NIX AQUA SURGE 50/249,121297948,PSA,10,-,2024,TOPPS RESURGENCE CONDUCTORS,C8,BO NIX,AQUA SURGE,50/249,FOOTBALL CARDS,-,67,-,-,-,-,-,Vaulted,09/17/2025,347,-,-,-,-,-,-,-,-,-,-
Active,2025 POKEMON SIMPLIFIED CHINESE CBB1 C-GEM PACK VOL 1 #09 CAPTAIN PIKACHU,121297946,PSA,10,-,2025,POKEMON SIMPLIFIED CHINESE CBB1 C-GEM PACK VOL 1,09,CAPTAIN PIKACHU,-,-,TCG Cards,-,757,-,-,-,-,-,Vaulted,09/17/2025,347,-,-,-,-,-,-,-,-,-,-
Active,2023 POKEMON KOREAN SV2a-POKEMON CARD 151 #193 JYNX EX SUPER RARE,121297952,PSA,10,-,2023,POKEMON KOREAN SV2a-POKEMON CARD 151,193,JYNX EX,SUPER RARE,-,TCG Cards,-,25,-,-,-,-,-,Vaulted,09/17/2025,347,-,-,-,-,-,-,-,-,-,-
Active,2025 TOPPS TAKASHI MURAKAMI + MLB WORLD TOUR TOKYO SERIES #11 YOSHINOBU YAMAMOTO,121297950,PSA,10,-,2025,TOPPS TAKASHI MURAKAMI + MLB WORLD TOUR TOKYO SERIES,11,YOSHINOBU YAMAMOTO,-,-,BASEBALL CARDS,-,122,-,-,-,-,-,Vaulted,09/17/2025,347,-,-,-,-,-,-,-,-,-,-
Active,2025 TOPPS TAKASHI MURAKAMI + MLB WORLD TOUR TOKYO SERIES #6 SHOTA IMANAGA,121297941,PSA,10,-,2025,TOPPS TAKASHI MURAKAMI + MLB WORLD TOUR TOKYO SERIES,6,SHOTA IMANAGA,-,-,BASEBALL CARDS,-,67,-,-,-,-,-,Vaulted,09/17/2025,347,-,-,-,-,-,-,-,-,-,-
